STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,DAPR_ATTRIBUTES,MDPR,MDPR_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES
USC00449151,"WILLIAMSBURG 2 N, VA US",37.3017,-76.7039,21.3,3/29/1970,,,,,1.04,",,0,1800",0,",,0,",0,",,0,",66,",,0",37,",,0",38,",,0,1800"
USC00449151,"WILLIAMSBURG 2 N, VA US",37.3017,-76.7039,21.3,3/30/1970,,,,,0.01,",,0,1800",0,",,0,",0,",,0,",39,",,0",31,",,0",39,",,0,1800"
USC00449151,"WILLIAMSBURG 2 N, VA US",37.3017,-76.7039,21.3,3/31/1970,,,,,0.59,",,0,1800",0,",,0,",0,",,0,",51,",,0",36,",,0",50,",,0,1800"
USC00449151,"WILLIAMSBURG 2 N, VA US",37.3017,-76.7039,21.3,4/1/1970,,,,,0.12,",,0,1800",0,",,0,",0,",,0,",53,",,0",33,",,0",45,",,0,1800"
USC00449151,"WILLIAMSBURG 2 N, VA US",37.3017,-76.7039,21.3,4/2/1970,,,,,0.73,",,0,1800",0,",,0,",0,",,0,",73,",,0",41,",,0",70,",,0,1800"
USC00449151,"WILLIAMSBURG 2 N, VA US",37.3017,-76.7039,21.3,4/3/1970,,,,,0,",,0,1800",0,",,0,",0,",,0,",70,",,0",39,",,0",63,",,0,1800"
USC00449151,"WILLIAMSBURG 2 N, VA US",37.3017,-76.7039,21.3,4/4/1970,,,,,0,",,0,1800",0,",,0,",0,",,0,",71,",,0",37,",,0",67,",,0,1800"
USC00449151,"WILLIAMSBURG 2 N, VA US",37.3017,-76.7039,21.3,4/5/1970,,,,,0,",,0,1800",0,",,0,",0,",,0,",67,",,0",41,",,0",46,",,0,1800"
USC00449151,"WILLIAMSBURG 2 N, VA US",37.3017,-76.7039,21.3,4/6/1970,,,,,0.1,",,0,1800",0,",,0,",0,",,0,",47,",,0",31,",,0",43,",,0,1800"
USC00449151,"WILLIAMSBURG 2 N, VA US",37.3017,-76.7039,21.3,4/7/1970,,,,,0.43,",,0,1800",0,",,0,",0,",,0,",55,",,0",35,",,0",43,",,0,1800"
USC00449151,"WILLIAMSBURG 2 N, VA US",37.3017,-76.7039,21.3,4/8/1970,,,,,0,",,0,1800",0,",,0,",0,",,0,",71,",,0",30,",,0",68,",,0,1800"
USC00449151,"WILLIAMSBURG 2 N, VA US",37.3017,-76.7039,21.3,4/9/1970,,,,,0,"T,,0,1800",0,",,0,",0,",,0,",82,",,0",55,",,0",69,",,0,1800"
USC00449151,"WILLIAMSBURG 2 N, VA US",37.3017,-76.7039,21.3,4/10/1970,,,,,0,",,0,1800",0,",,0,",0,",,0,",72,",,0",41,",,0",63,",,0,1800"
USC00449151,"WILLIAMSBURG 2 N, VA US",37.3017,-76.7039,21.3,4/11/1970,,,,,0,",,0,1800",0,",,0,",0,",,0,",63,",,0",37,",,0",54,",,0,1800"
USC00449151,"WILLIAMSBURG 2 N, VA US",37.3017,-76.7039,21.3,4/12/1970,,,,,0,",,0,1800",0,",,0,",0,",,0,",61,",,0",35,",,0",51,",,0,1800"
USC00449151,"WILLIAMSBURG 2 N, VA US",37.3017,-76.7039,21.3,4/13/1970,,,,,0.04,",,0,1800",0,",,0,",0,",,0,",63,",,0",38,",,0",51,",,0,1800"
USC00449151,"WILLIAMSBURG 2 N, VA US",37.3017,-76.7039,21.3,4/14/1970,,,,,0.24,",,0,1800",0,",,0,",0,",,0,",59,",,0",48,",,0",50,",,0,1800"
USC00449151,"WILLIAMSBURG 2 N, VA US",37.3017,-76.7039,21.3,4/15/1970,,,,,0.03,",,0,1800",0,",,0,",0,",,0,",52,",,0",45,",,0",52,",,0,1800"
